Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
GG_Bedroom_Mirror09,blocks,Block,New,Bedroom Mirror 09,,,,,
GG_Bedroom_Mirror10,blocks,Block,New,Bedroom Mirror 10,,,,,
GG_Bedroom_Mirror11,blocks,Block,New,Bedroom Mirror 11,,,,,
GG_Bedroom_Mirror12,blocks,Block,New,Bedroom Mirror 12,,,,,
GG_Bedroom_Mirror13,blocks,Block,New,Bedroom Mirror 13,,,,,
GG_Bedroom_Mirror14,blocks,Block,New,Bedroom Mirror 14,,,,,
GG_Bedroom_Mirror15,blocks,Block,New,Bedroom Mirror 15,,,,,
GG_Bedroom_Mirror16,blocks,Block,New,Bedroom Mirror 16,,,,,
GG_Bedroom_Mirror17,blocks,Block,New,Bedroom Mirror 17,,,,,
GG_Bedroom_Mirror18,blocks,Block,New,Bedroom Mirror 18,,,,,
GG_Bedroom_Mirror19,blocks,Block,New,Bedroom Mirror 19,,,,,
GG_Bedroom_Mirror20,blocks,Block,New,Bedroom Mirror 20,,,,,

GG_Bedroom_Small_WallDecor01,blocks,Block,New,Bedroom Wall Decor 01,,,,,
GG_Bedroom_Small_WallDecor02,blocks,Block,New,Bedroom Wall Decor 02,,,,,
GG_Bedroom_Small_WallDecor03,blocks,Block,New,Bedroom Wall Decor 03,,,,,
GG_Bedroom_Small_WallDecor04,blocks,Block,New,Bedroom Wall Decor 04,,,,,
GG_Bedroom_Small_WallDecor05,blocks,Block,New,Bedroom Wall Decor 05,,,,,
GG_Bedroom_Small_WallDecor06,blocks,Block,New,Bedroom Wall Decor 06,,,,,
GG_Bedroom_Small_WallDecor07,blocks,Block,New,Bedroom Wall Decor 07,,,,,
GG_Bedroom_Small_WallDecor08,blocks,Block,New,Bedroom Wall Decor 08,,,,,
GG_Bedroom_Small_WallDecor09,blocks,Block,New,Bedroom Wall Decor 09,,,,,
GG_Bedroom_Small_WallDecor10,blocks,Block,New,Bedroom Wall Decor 10,,,,,

GG_Bedroom_Stand01,blocks,Block,New,Bedroom Stand 01,,,,,
GG_Bedroom_Stand02,blocks,Block,New,Bedroom Stand 02,,,,,
GG_Bedroom_Stand03,blocks,Block,New,Bedroom Stand 03,,,,,
GG_Bedroom_Stand04,blocks,Block,New,Bedroom Stand 04,,,,,
GG_Bedroom_Stand05,blocks,Block,New,Bedroom Stand 05,,,,,
GG_Bedroom_Stand06,blocks,Block,New,Bedroom Stand 06,,,,,
GG_Bedroom_Stand07,blocks,Block,New,Bedroom Stand 07,,,,,
GG_Bedroom_Stand08,blocks,Block,New,Bedroom Stand 08,,,,,
GG_Bedroom_Stand09,blocks,Block,New,Bedroom Stand 09,,,,,
GG_Bedroom_Stand10,blocks,Block,New,Bedroom Stand 10,,,,,


GG_Kitchen_Appliances_Block_Variant,blocks,Variant,New,GG's Small Appliances,,,,,
GG_Kitchen_Appliances_SelectorDesc,blocks,Block,New,Microwaves Coffee Makers Blenders and Toasters,,,,,

GG_Kitchen_Appliances01,blocks,Block,New,GG's Blender 01,,,,,
GG_Kitchen_Appliances02,blocks,Block,New,GG's Blender 02,,,,,
GG_Kitchen_Appliances03,blocks,Block,New,GG's Blender 03,,,,,
GG_Kitchen_Appliances04,blocks,Block,New,GG's COFFEE!!!,,,,,
GG_Kitchen_Appliances05,blocks,Block,New,GG's Coffee Maker 01,,,,,
GG_Kitchen_Appliances06,blocks,Block,New,GG's Coffee Maker 02,,,,,
GG_Kitchen_Appliances07,blocks,Block,New,GG's Coffee Maker 03,,,,,
GG_Kitchen_Appliances08,blocks,Block,New,GG's Microwave 01,,,,,
GG_Kitchen_Appliances09,blocks,Block,New,GG's Microwave 02,,,,,
GG_Kitchen_Appliances10,blocks,Block,New,GG's Microwave 03,,,,,
GG_Kitchen_Appliances11,blocks,Block,New,GG's Microwave 04,,,,,
GG_Kitchen_Appliances12,blocks,Block,New,GG's Microwave 05,,,,,
GG_Kitchen_Appliances13,blocks,Block,New,GG's Toaster 01,,,,,
GG_Kitchen_Appliances14,blocks,Block,New,GG's Toaster 02,,,,,
GG_Kitchen_Appliances15,blocks,Block,New,GG's Toaster 03,,,,,

GG_Kitchen_AppliancesDesc,blocks,Block,New,Just for decoration at the moment. Additional fucntions coming soon!,,,,,


GG_Kitchen_BigAppliance_Block_Variant,blocks,Variant,New,GG's Big Appliances,,,,,
GG_Kitchen_BigAppliances_SelectorDesc,blocks,Block,New,Fridges and Ovens,,,,,

GG_Kitchen_BigAppliance01,blocks,Block,New,GG's Fridge 01,,,,,
GG_Kitchen_BigAppliance02,blocks,Block,New,GG's Fridge 02,,,,,
GG_Kitchen_BigAppliance03,blocks,Block,New,GG's Fridge 03,,,,,
GG_Kitchen_BigAppliance04,blocks,Block,New,GG's Fridge 04,,,,,
GG_Kitchen_BigAppliance05,blocks,Block,New,GG's Fridge 05,,,,,
GG_Kitchen_BigAppliance06,blocks,Block,New,GG's Stove 01,,,,,
GG_Kitchen_BigAppliance07,blocks,Block,New,GG's Stove 02,,,,,
GG_Kitchen_BigAppliance08,blocks,Block,New,GG's Stove 03,,,,,
GG_Kitchen_BigAppliance09,blocks,Block,New,GG's Stove 04,,,,,
GG_Kitchen_BigAppliance10,blocks,Block,New,GG's Stove 05,,,,,

GG_Kitchen_BigAppliancesDesc,blocks,Block,New,Just for decoration at the moment. Additional fucntions coming soon!,,,,,


GG_Kitchen_Type01_CabinetLow01_Block_Variant,blocks,Variant,New,GG's Cabinet Type 01,,,,,
GG_Kitchen_Type01_CabinetLow01_Block_VariantDesc,blocks,Block,New,SO PRETTY!,,,,,

GG_Kitchen_Type01_CabinetLow01,blocks,Block,New,GG's Cabinet Type 01 Top 01,,,,,
GG_Kitchen_Type01_CabinetLow02,blocks,Block,New,GG's Cabinet Type 01 Top 02,,,,,
GG_Kitchen_Type01_CabinetLow03,blocks,Block,New,GG's Cabinet Type 01 Top 03,,,,,
GG_Kitchen_Type01_CabinetLow04,blocks,Block,New,GG's Cabinet Type 01 Top 04,,,,,
GG_Kitchen_Type01_CabinetLow05,blocks,Block,New,GG's Cabinet Type 01 Top 05,,,,,
GG_Kitchen_Type01_CabinetLow06,blocks,Block,New,GG's Cabinet Type 01 Top 06,,,,,
GG_Kitchen_Type01_CabinetTop01,blocks,Block,New,GG's Cabinet Type 01 Bottom 01,,,,,
GG_Kitchen_Type01_CabinetTop02,blocks,Block,New,GG's Cabinet Type 01 Bottom 02,,,,,
GG_Kitchen_Type01_CabinetTop03,blocks,Block,New,GG's Cabinet Type 01 Bottom 03,,,,,
GG_Kitchen_Type01_CabinetTop04,blocks,Block,New,GG's Cabinet Type 01 Bottom 04,,,,,
GG_Kitchen_Type01_CabinetTop05,blocks,Block,New,GG's Cabinet Type 01 Bottom 05,,,,,


GG_Kitchen_Type01_CabinetDesc,blocks,Block,New,Just for decoration at the moment. Additional fucntions coming soon!,,,,,


GG_Kitchen_Type02_CabinetLow01_Block_Variant,blocks,Variant,New,GG's Cabinet Type 02,,,,,
GG_Kitchen_Type02_CabinetLow01_Block_VariantDesc,blocks,Block,New,SO PRETTY!,,,,,

GG_Kitchen_Type02_CabinetLow01,blocks,Block,New,GG's Cabinet Type 02 Top 01,,,,,
GG_Kitchen_Type02_CabinetLow02,blocks,Block,New,GG's Cabinet Type 02 Top 02,,,,,
GG_Kitchen_Type02_CabinetLow03,blocks,Block,New,GG's Cabinet Type 02 Top 03,,,,,
GG_Kitchen_Type02_CabinetLow04,blocks,Block,New,GG's Cabinet Type 02 Top 04,,,,,
GG_Kitchen_Type02_CabinetLow05,blocks,Block,New,GG's Cabinet Type 02 Top 05,,,,,
GG_Kitchen_Type02_CabinetLow06,blocks,Block,New,GG's Cabinet Type 02 Top 06,,,,,
GG_Kitchen_Type02_CabinetLow07,blocks,Block,New,GG's Cabinet Type 02 Top 07,,,,,
GG_Kitchen_Type02_CabinetLow08,blocks,Block,New,GG's Cabinet Type 02 Top 08,,,,,
GG_Kitchen_Type02_CabinetTop01,blocks,Block,New,GG's Cabinet Type 02 Bottom 01,,,,,
GG_Kitchen_Type02_CabinetTop02,blocks,Block,New,GG's Cabinet Type 02 Bottom 02,,,,,
GG_Kitchen_Type02_CabinetTop03,blocks,Block,New,GG's Cabinet Type 02 Bottom 03,,,,,
GG_Kitchen_Type02_CabinetTop04,blocks,Block,New,GG's Cabinet Type 02 Bottom 04,,,,,
GG_Kitchen_Type02_CabinetTop05,blocks,Block,New,GG's Cabinet Type 02 Bottom 05,,,,,


GG_Kitchen_Type02_CabinetDesc,blocks,Block,New,Just for decoration at the moment. Additional fucntions coming soon!,,,,,


GG_Kitchen_Type01_CabinetDesc,blocks,Block,New,Just for decoration at the moment. Additional fucntions coming soon!,,,,,

GG_Kitchen_Bell_Block_Variant,blocks,Variant,New,GG's Oven Hoods,,,,,
GG_Kitchen_Bell_Block_VariantDesc,blocks,Block,New,Oooo shiny!,,,,,

GG_Kitchen_Bell01,blocks,Block,New,GG's Oven Hood 01,,,,,
GG_Kitchen_Bell02,blocks,Block,New,GG's Oven Hood 02,,,,,
GG_Kitchen_Bell03,blocks,Block,New,GG's Oven Hood 03,,,,,
GG_Kitchen_Bell04,blocks,Block,New,GG's Oven Hood 04,,,,,
GG_Kitchen_Bell05,blocks,Block,New,GG's Oven Hood 05,,,,,


GG_Small_Window_Block_Variant,blocks,Variant,New,GG's Small Windows,,,,,
GG_Medium_Window_Block_Variant,blocks,Variant,New,GG's Medium Windows,,,,,
GG_Large_Window_Block_Variant,blocks,Variant,New,GG's Large Windows,,,,,
GG_Windows_SelectorDesc,blocks,Block,New,FANCY WINDOWS!!!,,,,,

GG_Small_Window01,blocks,Block,New,Small Regular Window 01,,,,,
GG_Small_Window02,blocks,Block,New,Small Regular Window 02,,,,,
GG_Small_Window03,blocks,Block,New,Small Regular Window 03,,,,,
GG_Small_Window04,blocks,Block,New,Small Regular Window 04,,,,,
GG_Small_Window05,blocks,Block,New,Small Regular Window 05,,,,,
GG_Small_Window06,blocks,Block,New,Small Regular Window 06,,,,,
GG_Small_Window07,blocks,Block,New,Small Regular Window 07,,,,,
GG_Small_Window08,blocks,Block,New,Small Regular Window 08,,,,,
GG_Small_Window09,blocks,Block,New,Small Regular Window 09,,,,,
GG_Small_Window10,blocks,Block,New,Small Regular Window 10,,,,,
GG_Small_Window11,blocks,Block,New,Small Regular Window 11,,,,,
GG_Small_Window12,blocks,Block,New,Small Regular Window 12,,,,,
GG_Small_Window13,blocks,Block,New,Small Regular Window 13,,,,,

GG_Small_Window01_Blue,blocks,Block,New,Small Blue Window 01,,,,,
GG_Small_Window02_Blue,blocks,Block,New,Small Blue Window 02,,,,,
GG_Small_Window03_Blue,blocks,Block,New,Small Blue Window 03,,,,,
GG_Small_Window04_Blue,blocks,Block,New,Small Blue Window 04,,,,,
GG_Small_Window05_Blue,blocks,Block,New,Small Blue Window 05,,,,,
GG_Small_Window06_Blue,blocks,Block,New,Small Blue Window 06,,,,,
GG_Small_Window07_Blue,blocks,Block,New,Small Blue Window 07,,,,,
GG_Small_Window08_Blue,blocks,Block,New,Small Blue Window 08,,,,,
GG_Small_Window09_Blue,blocks,Block,New,Small Blue Window 09,,,,,
GG_Small_Window10_Blue,blocks,Block,New,Small Blue Window 10,,,,,
GG_Small_Window11_Blue,blocks,Block,New,Small Blue Window 11,,,,,
GG_Small_Window12_Blue,blocks,Block,New,Small Blue Window 12,,,,,
GG_Small_Window13_Blue,blocks,Block,New,Small Blue Window 13,,,,,

GG_Small_Window01_Green,blocks,Block,New,Small Green Window 01,,,,,
GG_Small_Window02_Green,blocks,Block,New,Small Green Window 02,,,,,
GG_Small_Window03_Green,blocks,Block,New,Small Green Window 03,,,,,
GG_Small_Window04_Green,blocks,Block,New,Small Green Window 04,,,,,
GG_Small_Window05_Green,blocks,Block,New,Small Green Window 05,,,,,
GG_Small_Window06_Green,blocks,Block,New,Small Green Window 06,,,,,
GG_Small_Window07_Green,blocks,Block,New,Small Green Window 07,,,,,
GG_Small_Window08_Green,blocks,Block,New,Small Green Window 08,,,,,
GG_Small_Window09_Green,blocks,Block,New,Small Green Window 09,,,,,
GG_Small_Window10_Green,blocks,Block,New,Small Green Window 10,,,,,
GG_Small_Window11_Green,blocks,Block,New,Small Green Window 11,,,,,
GG_Small_Window12_Green,blocks,Block,New,Small Green Window 12,,,,,
GG_Small_Window13_Green,blocks,Block,New,Small Green Window 13,,,,,

GG_Small_Window01_Pink,blocks,Block,New,Small Pink Window 01,,,,,
GG_Small_Window02_Pink,blocks,Block,New,Small Pink Window 02,,,,,
GG_Small_Window03_Pink,blocks,Block,New,Small Pink Window 03,,,,,
GG_Small_Window04_Pink,blocks,Block,New,Small Pink Window 04,,,,,
GG_Small_Window05_Pink,blocks,Block,New,Small Pink Window 05,,,,,
GG_Small_Window06_Pink,blocks,Block,New,Small Pink Window 06,,,,,
GG_Small_Window07_Pink,blocks,Block,New,Small Pink Window 07,,,,,
GG_Small_Window08_Pink,blocks,Block,New,Small Pink Window 08,,,,,
GG_Small_Window09_Pink,blocks,Block,New,Small Pink Window 09,,,,,
GG_Small_Window10_Pink,blocks,Block,New,Small Pink Window 10,,,,,
GG_Small_Window11_Pink,blocks,Block,New,Small Pink Window 11,,,,,
GG_Small_Window12_Pink,blocks,Block,New,Small Pink Window 12,,,,,
GG_Small_Window13_Pink,blocks,Block,New,Small Pink Window 13,,,,,

GG_Small_Window01_Red,blocks,Block,New,Small Red Window 01,,,,,
GG_Small_Window02_Red,blocks,Block,New,Small Red Window 02,,,,,
GG_Small_Window03_Red,blocks,Block,New,Small Red Window 03,,,,,
GG_Small_Window04_Red,blocks,Block,New,Small Red Window 04,,,,,
GG_Small_Window05_Red,blocks,Block,New,Small Red Window 05,,,,,
GG_Small_Window06_Red,blocks,Block,New,Small Red Window 06,,,,,
GG_Small_Window07_Red,blocks,Block,New,Small Red Window 07,,,,,
GG_Small_Window08_Red,blocks,Block,New,Small Red Window 08,,,,,
GG_Small_Window09_Red,blocks,Block,New,Small Red Window 09,,,,,
GG_Small_Window10_Red,blocks,Block,New,Small Red Window 10,,,,,
GG_Small_Window11_Red,blocks,Block,New,Small Red Window 11,,,,,
GG_Small_Window12_Red,blocks,Block,New,Small Red Window 12,,,,,
GG_Small_Window13_Red,blocks,Block,New,Small Red Window 13,,,,,

GG_Medium_Window01,blocks,Block,New,Medium Regular Window 01,,,,,
GG_Medium_Window02,blocks,Block,New,Medium Regular Window 02,,,,,
GG_Medium_Window03,blocks,Block,New,Medium Regular Window 03,,,,,
GG_Medium_Window04,blocks,Block,New,Medium Regular Window 04,,,,,
GG_Medium_Window05,blocks,Block,New,Medium Regular Window 05,,,,,
GG_Medium_Window06,blocks,Block,New,Medium Regular Window 06,,,,,
GG_Medium_Window07,blocks,Block,New,Medium Regular Window 07,,,,,
GG_Medium_Window08,blocks,Block,New,Medium Regular Window 08,,,,,
GG_Medium_Window09,blocks,Block,New,Medium Regular Window 09,,,,,
GG_Medium_Window10,blocks,Block,New,Medium Regular Window 10,,,,,
GG_Medium_Window11,blocks,Block,New,Medium Regular Window 11,,,,,
GG_Medium_Window12,blocks,Block,New,Medium Regular Window 12,,,,,
GG_Medium_Window13,blocks,Block,New,Medium Regular Window 13,,,,,

GG_Medium_Window01_Blue,blocks,Block,New,Medium Blue Window 01,,,,,
GG_Medium_Window02_Blue,blocks,Block,New,Medium Blue Window 02,,,,,
GG_Medium_Window03_Blue,blocks,Block,New,Medium Blue Window 03,,,,,
GG_Medium_Window04_Blue,blocks,Block,New,Medium Blue Window 04,,,,,
GG_Medium_Window05_Blue,blocks,Block,New,Medium Blue Window 05,,,,,
GG_Medium_Window06_Blue,blocks,Block,New,Medium Blue Window 06,,,,,
GG_Medium_Window07_Blue,blocks,Block,New,Medium Blue Window 07,,,,,
GG_Medium_Window08_Blue,blocks,Block,New,Medium Blue Window 08,,,,,
GG_Medium_Window09_Blue,blocks,Block,New,Medium Blue Window 09,,,,,
GG_Medium_Window10_Blue,blocks,Block,New,Medium Blue Window 10,,,,,
GG_Medium_Window11_Blue,blocks,Block,New,Medium Blue Window 11,,,,,
GG_Medium_Window12_Blue,blocks,Block,New,Medium Blue Window 12,,,,,
GG_Medium_Window13_Blue,blocks,Block,New,Medium Blue Window 13,,,,,

GG_Medium_Window01_Green,blocks,Block,New,Medium Green Window 01,,,,,
GG_Medium_Window02_Green,blocks,Block,New,Medium Green Window 02,,,,,
GG_Medium_Window03_Green,blocks,Block,New,Medium Green Window 03,,,,,
GG_Medium_Window04_Green,blocks,Block,New,Medium Green Window 04,,,,,
GG_Medium_Window05_Green,blocks,Block,New,Medium Green Window 05,,,,,
GG_Medium_Window06_Green,blocks,Block,New,Medium Green Window 06,,,,,
GG_Medium_Window07_Green,blocks,Block,New,Medium Green Window 07,,,,,
GG_Medium_Window08_Green,blocks,Block,New,Medium Green Window 08,,,,,
GG_Medium_Window09_Green,blocks,Block,New,Medium Green Window 09,,,,,
GG_Medium_Window10_Green,blocks,Block,New,Medium Green Window 10,,,,,
GG_Medium_Window11_Green,blocks,Block,New,Medium Green Window 11,,,,,
GG_Medium_Window12_Green,blocks,Block,New,Medium Green Window 12,,,,,
GG_Medium_Window13_Green,blocks,Block,New,Medium Green Window 13,,,,,

GG_Medium_Window01_Pink,blocks,Block,New,Medium Pink Window 01,,,,,
GG_Medium_Window02_Pink,blocks,Block,New,Medium Pink Window 02,,,,,
GG_Medium_Window03_Pink,blocks,Block,New,Medium Pink Window 03,,,,,
GG_Medium_Window04_Pink,blocks,Block,New,Medium Pink Window 04,,,,,
GG_Medium_Window05_Pink,blocks,Block,New,Medium Pink Window 05,,,,,
